Categories,Level 3 - CATEGORY MANAGER,Level 4 - CATEGORY PLAN,Level 5 - 4BOX,cost,Percentage
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SERVICE,SALAMI SERVICE,-4613814,"5,37%"
SF SCM F&V,SF CM VEGETABLES,FRUIT VEGETABLE,FRESH FRUIT VEGETABLE,-4477407,"5,21%"
SF SCM BAKERY,SF CM BAKERY,SALTY PASTRY,FRESH PASTRY SALTY OTHER,-3825355,"4,45%"
SF SCM MEAT,SF CM RED MEAT,RED MEAT,PORK MEAT CHILLED,-3508772,"4,08%"
SF SCM BAKERY,SF CM BAKERY,BREAD,FRESH BREADS,-2967161,"3,45%"
SF SCM BAKERY,SF CM BAKERY,SALTY PASTRY,FRESH PASTRY BASIC,-2449622,"2,85%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SERVICE,HAM SERVICE,-2348978,"2,73%"
SF SCM MEAT,SF CM POULTRY,POULTRY CHILLED,CHICKEN BASIC CHILLED,-2188279,"2,55%"
SF SCM FLOWERS,SF CM FLOWERS,FLOWERS,FRESH FLOWERS&PLANTS,-2139301,"2,49%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SERVICE,MEAT PRODUCTS SERVICE,-2021841,"2,35%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SERVICE,BACON SERVICE,-1975864,"2,30%"
SF SCM BAKERY,SF CM BAKERY,SWEET PASTRY,FRESH PASTRY SNACKS SWEET,-1859360,"2,16%"
SF SCM MEAT,SF CM POULTRY,POULTRY CHILLED,CHICKEN SPECIAL CHILLED,-1788991,"2,08%"
SF SCM MEAT,SF CM RED MEAT,RED MEAT,BEEF MEAT CHILLED,-1768516,"2,06%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SELF SERVICE,HAM SELF SERVICE,-1738383,"2,02%"
SF SCM F&V,SF CM FRUIT,CITRUSES,FRESH CITRUS FRUIT,-1665783,"1,94%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SELF SERVICE,SALAMI SELF SERVICE,-1558021,"1,81%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SERVICE,SAUSAGE SERVICE,-1521890,"1,77%"
FF SCM DAIRY,FF CM CHEESE,HARD CHEESE,HARD CHEESE,-1439611,"1,68%"
SF SCM F&V,SF CM FRUIT,BERRIES,FRESH SOFT BERRIES,-1430349,"1,66%"
FF SCM CONVENIENCE,FF CM TAPAS,TAPAS SELF SERVICE,FRESH DELI TAPAS,-1357269,"1,58%"
SF SCM F&V,SF CM FRUIT,BERRIES,FRESH BERRY FRUIT,-1289430,"1,50%"
SF SCM BAKERY,SF CM BAKERY,SWEET PASTRY,FRESH PASTRY SWEET OTHER,-1244719,"1,45%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SERVICE,HOT DOGS SERVICE,-1232524,"1,43%"
SF SCM F&V,SF CM VEGETABLES,POTATOES,FRESH POTATOES,-1085153,"1,26%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SELF SERVICE,SAUSAGE SELF SERVICE,-1015856,"1,18%"
SF SCM MEAT,SF CM POULTRY,POULTRY CHILLED,TURKEY CHILLED,-992106,"1,15%"
FF SCM CONVENIENCE,FF CM TAPAS,TAPAS SELF SERVICE,FRESH DELI TAKE AWAY,-985761,"1,15%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SELF SERVICE,HOT DOGS SELF SERVICE,-941201,"1,10%"
FF SCM DAIRY,FF CM CHEESE,FRESH CHEESE,FRESH CHEESE,-927407,"1,08%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SELF SERVICE,MEAT PRODUCTS SELF SERVICE,-882114,"1,03%"
SF SCM F&V,SF CM FRUIT,BANANA,FRESH BANANAS,-856269,"1,00%"
SF SCM F&V,SF CM VEGETABLES,ROOT VEGETABLES,FRESH ROOT VEGETABLES,-817215,"0,95%"
SF SCM F&V,SF CM FRUIT,EXOTICS,FRESH EXOTIC FRUIT,-795012,"0,93%"
SF SCM F&V,SF CM FRUIT,CORE FRUIT,FRESH CORE FRUIT,-755292,"0,88%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH PROCESSED FV,FRESH PROCESSED VEGETABLE SALADS,-753501,"0,88%"
SF SCM F&V,SF CM VEGETABLES,STALK VEGETABLE,FRESH STALK VEGETABLE,-739811,"0,86%"
FF SCM DAIRY,FF CM YOGHURTS,YOGURTS,FLAVOURED LOWER FAT YOGHURTS,-719235,"0,84%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI MEAT REPLACEMENT SELF SERVICE,-715350,"0,83%"
SF SCM F&V,SF CM FRUIT,STONE FRUIT,FRESH STONE FRUIT,-698008,"0,81%"
FF SCM GASTRO,FF CM HOT POINT,GASTRO,GASTRO MAIN MEAL - WARM&COLD,-660307,"0,77%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH PROCESSED FV,FRESH PROCESSED SALADS,-604174,"0,70%"
SF SCM BAKERY,SF CM BAKERY,SALTY PASTRY,FRESH PASTRY SNACKS SALTY,-566075,"0,66%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SELF SERVICE,BACON SELF SERVICE,-560562,"0,65%"
SF SCM F&V,SF CM VEGETABLES,BULB VEGETABLES,FRESH BULB VEGETABLE,-533381,"0,62%"
SF SCM F&V,SF CM VEGETABLES,HERBS,FRESH HERBS,-532596,"0,62%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SERVICE,OFFAL PRODUCTS SERVICE,-532385,"0,62%"
SF SCM FISH,SF CM FISH,FRESH FISH,FRESH SEA FISH,-512510,"0,60%"
FF SCM DAIRY,FF CM YOGHURTS,DESSERTS,ADULT DESSERTS,-506268,"0,59%"
FF SCM DAIRY,FF CM YOGHURTS,DESSERTS,CHILDREN DESSERTS,-482291,"0,56%"
FF SCM DAIRY,"FF CM MILK, FATS",MILK,FRESH MILK,-467359,"0,54%"
FF SCM DAIRY,FF CM CHEESE,HARD CHEESE,HARD CHEESE PRE-PACK,-463978,"0,54%"
FF SCM DAIRY,FF CM CHEESE,MOULD CHEESE,MOULD CHEESE,-438671,"0,51%"
SF SCM EGGS,SF CM EGGS,EGGS,EGGS CAGE,-438654,"0,51%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI READY MAIN MEALS SELF SERVICE,-435593,"0,51%"
SF SCM F&V,SF CM VEGETABLES,SPECIAL VEGETABLE,FRESH SPECIAL VEGETABLES,-410567,"0,48%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI SPREADS SELF SERVICE,-398110,"0,46%"
SF SCM F&V,SF CM VEGETABLES,LEAF,FRESH LEAF VEGETABLE,-385808,"0,45%"
FF SCM DAIRY,FF CM YOGHURTS,YOGURTS,PLAIN LOWER FAT YOGHURTS,-382425,"0,45%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI FISH PRODUCTS SELF SERVICE,-378082,"0,44%"
FF SCM DAIRY,"FF CM MILK, FATS",KITCHEN DAIRY,SOFT CURDS,-372907,"0,43%"
SF SCM F&V,SF CM PROCESSED F&V,MUSHROOMS,FRESH MUSHROOMS,-363099,"0,42%"
SF SCM BAKERY,SF CM BAKERY,FRESH CONFECTIONARY,FRESH CONFECTIONARY DESSERTS,-358254,"0,42%"
SF SCM F&V,SF CM VEGETABLES,LEAF,FRESH LETTUCE,-344735,"0,40%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SERVICE,FRESH DELI ANTIPASTA SERVICE,-295089,"0,34%"
SF SCM MEAT,SF CM RED MEAT,RED MEAT,MIX OF RED MEAT CHILLED,-290549,"0,34%"
SF SCM MEAT,SF CM POULTRY,POULTRY CHILLED,DUCK CHILLED,-277118,"0,32%"
SF SCM EGGS,SF CM EGGS,EGGS,EGGS ALTERNATIVE,-268225,"0,31%"
FF SCM DAIRY,"FF CM MILK, FATS","YELL,WHITE FATS",MARGARINES,-263579,"0,31%"
FF SCM FROZEN,FF CM ICE CREAM,ICE CREAM,ICE CREAM,-256550,"0,30%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI SUSHI SELF SERVICE,-244374,"0,28%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI DUMPLINGS SELF SERVICE,-242566,"0,28%"
SF SCM BAKERY,SF CM BAKERY,SWEET PASTRY,FRESH PASTRY SWEET FILLED,-239761,"0,28%"
FF SCM DAIRY,FF CM YOGHURTS,YOGURTS,FLAVOURED FULL FAT YOGHURTS,-227983,"0,27%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI TAPAS SELF SERVICE,-221483,"0,26%"
SF SCM FISH,SF CM FISH,FRESH FISH,FRESH FRESHWATER FISH,-203138,"0,24%"
FF SCM DAIRY,"FF CM MILK, FATS",MILK,UHT MILK,-198936,"0,23%"
FF SCM DAIRY,FF CM YOGHURTS,FERMENTED MILK DRINKS,ACIDIFIED FLAVOURED MILK,-198317,"0,23%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH PROCESSED FV,FRESH PROCESSED VEGETABLES,-196687,"0,23%"
SF SCM MEAT,SF CM POULTRY,POULTRY CHILLED,RABBIT CHILLED,-195589,"0,23%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PATÉ CHILLED,PATÉ CHILLED,-193692,"0,23%"
FF SCM DAIRY,FF CM YOGHURTS,YOGURTS,PLAIN FULL FAT YOGHURTS,-190995,"0,22%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SERVICE,FRESH DELI SPREADS SERVICE,-183850,"0,21%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI DOUGH SELF SERVICE,-182798,"0,21%"
FF SCM DAIRY,"FF CM MILK, FATS","YELL,WHITE FATS",BUTTER,-182118,"0,21%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH PROCESSED FV,FRESH VEGETABLES SOUPS,-179324,"0,21%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI SALADS SELF SERVICE,-177698,"0,21%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI PESTO & SAUCES SELF SERVICE,-174147,"0,20%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SERVICE,FRESH DELI SALADS SERVICE,-173596,"0,20%"
SF SCM BAKERY,SF CM BAKERY,BAKERY INGREDIENTS FOR PRODUCTION,BAKERY INGREDIENTS FOR PRODUCTION,-171450,"0,20%"
SF SCM BAKERY,SF CM BAKERY,SWEET PASTRY,FRESH PASTRY SWEET UNFILLED,-161390,"0,19%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH JUICES,FRESH JUICES MIX 100%,-159612,"0,19%"
FF SCM MEAT PRODUCTS,FF CM MEAT PRODUCTS,PROC. MEAT SELF SERVICE,OFFAL PRODUCTS SELF SERVICE,-159259,"0,19%"
SF SCM BAKERY,SF CM BAKERY,FRESH CONFECTIONARY,FRESH CONFECTIONARY CAKES,-152817,"0,18%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI READY SOUPS SELF SERVICE,-146518,"0,17%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SERVICE,FRESH DELI FISH PRODUCTS SERVICE,-119007,"0,14%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH JUICES,FRESH SMOOTHIE,-118561,"0,14%"
FF SCM DAIRY,FF CM CHEESE,PROCESSED CHEESE,PROCESSED CHEESE,-105241,"0,12%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI ANTIPASTA SELF SERVICE,-98276,"0,11%"
FF SCM DAIRY,FF CM YOGHURTS,FERMENTED MILK DRINKS,ACIDIFIED PLAIN MILK,-95655,"0,11%"
FF SCM DAIRY,"FF CM MILK, FATS",KITCHEN DAIRY,ACID CREAMS,-86960,"0,10%"
FF SCM DAIRY,"FF CM MILK, FATS",KITCHEN DAIRY,FRESH CREAMS,-85984,"0,10%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SERVICE,FRESH DELI CHLEBÍČKY SERVICE,-84436,"0,10%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH JUICES,FRESH JUICES FRUIT 100%,-82489,"0,10%"
FF SCM GASTRO,FF CM FRESH BAR,FRESH BAR,FRESH BAR COLD FOOD - SWEET,-80506,"0,09%"
FF SCM DAIRY,FF CM CHEESE,RIPPENING CHEESE,RIPPENING CHEESE,-79327,"0,09%"
FF SCM DAIRY,FF CM YOGHURTS,FERMENTED MILK DRINKS,NATURAL PLAIN ACID MILK,-77933,"0,09%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT",DRIED NUTS,-75881,"0,09%"
FF SCM DAIRY,FF CM CHEESE,MOULD CHEESE,MOULD CHEESE PRE-PACK,-72228,"0,08%"
SF SCM F&V,SF CM FRUIT,MELON,FRESH MELONS,-70352,"0,08%"
SF SCM MEAT,SF CM POULTRY,POULTRY FROZEN,FROZEN CHICKEN,-59745,"0,07%"
FF SCM DAIRY,"FF CM MILK, FATS","YELL,WHITE FATS",BUTTER SPREADS,-57856,"0,07%"
FF SCM GASTRO,FF CM FRESH BAR,FRESH BAR,FRESH BAR COLD FOOD - SALTY,-57624,"0,07%"
FF SCM DAIRY,FF CM CHEESE,FRESH CHEESE,FRESH CHEESE PRE-PACK,-57058,"0,07%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT","DRIED F&V, NUTS&SEEDS MIX",-53724,"0,06%"
FF SCM FROZEN,FF CM FROZEN FOOD,FROZEN FISH,FROZEN FISH&SEAFOOD,-52401,"0,06%"
FF SCM DAIRY,"FF CM MILK, FATS",KITCHEN DAIRY,UHT CREAMS,-50602,"0,06%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI CHLEBÍČKY SELF SERVICE,-48475,"0,06%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI PICKLED PRODUCTS SELF SERVICE,-48235,"0,06%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH JUICES,FRESH LIMONADE,-40200,"0,05%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT","DRIED F&V, NUTS&SEEDS SEASONAL",-34614,"0,04%"
FF SCM FROZEN,FF CM FROZEN FOOD,FROZEN MEAL,FROZEN READY TO EAT,-30954,"0,04%"
FF SCM DAIRY,FF CM YOGHURTS,FERMENTED MILK DRINKS,NATURAL FLAVOURED ACID MILK,-29994,"0,03%"
FF SCM FROZEN,FF CM FROZEN FOOD,FROZEN PIZZA,FROZEN PIZZA&PIZZA BREADS,-26096,"0,03%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT",DRIED  FRUITS,-25692,"0,03%"
SF SCM MEAT,SF CM RED MEAT,RED MEAT,VENISON MEAT CHILLED,-22373,"0,03%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH PROCESSED FV,FERMENTED & PICKLED VEGETABLE,-22104,"0,03%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH JUICES,FRESH TEA,-21497,"0,03%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI PIZZA SELF SERVICE,-21057,"0,02%"
FF SCM FROZEN,FF CM FROZEN FOOD,FROZEN MEAL,FROZEN FRUIT&VEGETABLES,-20289,"0,02%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SELF SERVICE,FRESH DELI PASTA SELF SERVICE,-19338,"0,02%"
FF SCM DAIRY,"FF CM MILK, FATS",KITCHEN DAIRY,HARD CURDS,-17780,"0,02%"
SF SCM MEAT,SF CM RED MEAT,RED MEAT,OTHER RED MEAT CHILLED,-17623,"0,02%"
FF SCM DAIRY,"FF CM MILK, FATS","MAYONNAISE,DRES",MAYONNAISE,-17095,"0,02%"
FF SCM DAIRY,"FF CM MILK, FATS",MILK,CONDENSED MILK,-13993,"0,02%"
FF SCM DAIRY,"FF CM MILK, FATS","MAYONNAISE,DRES",TARTAR SAUCE,-13848,"0,02%"
FF SCM DAIRY,"FF CM MILK, FATS",KITCHEN DAIRY,YEAST,-11929,"0,01%"
SF SCM MEAT,SF CM POULTRY,POULTRY CHILLED,OTHER POULTRY CHILLED,-9103,"0,01%"
FF SCM GASTRO,FF CM SUSHI,SUSHI POINT,SUSHI POINT - SUSHI,-7211,"0,01%"
FF SCM FROZEN,FF CM FROZEN FOOD,FROZEN MEAL,FROZEN CHIPS&WEDGES&POTATOES,-6831,"0,01%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT","DRIED F&V, NUTS&SEEDS SALTED",-6695,"0,01%"
SF SCM MEAT,SF CM POULTRY,POULTRY FROZEN,FROZEN DUCK,-6566,"0,01%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT",DRIED SEEDS,-6232,"0,01%"
SF SCM FISH,SF CM FISH,FRESH FISH,FRESH SEAFOOD,-5428,"0,01%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT","DRIED F&V, NUTS&SEEDS WITH COATING",-4702,"0,01%"
FF SCM FROZEN,FF CM FROZEN FOOD,FROZEN MEAL,FROZEN BAKERY&CONFECTIONARY,-4585,"0,01%"
FF SCM GASTRO,FF CM FRESH BAR,FRESH BAR,FRESH BAR MEAL - WARM&COLD,-3566,"0,00%"
SF SCM MEAT,SF CM POULTRY,POULTRY FROZEN,FROZEN TURKEY,-3455,"0,00%"
SF SCM F&V,SF CM PROCESSED F&V,FRESH JUICES,FRESH JUICES VEGETABLES 100%,-3216,"0,00%"
FF SCM DAIRY,"FF CM MILK, FATS",MILK,DRY MILK,-3176,"0,00%"
FF SCM GASTRO,FF CM SUSHI,SUSHI POINT,SUSHI POINT - MEALS OTHER,-2944,"0,00%"
FF SCM CONVENIENCE,FF CM CONVENIENCE,CHILLED PRODUCT SERVICE,FRESH DELI PICKLED PRODUCTS SERVICE,-2741,"0,00%"
SF SCM MEAT,SF CM RED MEAT,RED MEAT,VEAL MEAT CHILLED,-2719,"0,00%"
SF SCM MEAT,SF CM POULTRY,POULTRY FROZEN,FROZEN HEN,-808,"0,00%"
FF SCM DAIRY,"FF CM MILK, FATS","MAYONNAISE,DRES",FRESH DRESSINGS,-795,"0,00%"
FF SCM DAIRY,"FF CM MILK, FATS","MAYONNAISE,DRES",FRESH SAUCES,-719,"0,00%"
SF SCM F&V,SF CM DRY FRUIT&NUTS,"DRY NUTS, FRUIT",DRIED VEGETABLES,-413,"0,00%"
FF SCM FROZEN,FF CM FROZEN FOOD,PURE ICE,PURE ICE,-257,"0,00%"
SF SCM MEAT,SF CM RED MEAT,FROZEN RED MEAT,FROZEN BEEF,-194,"0,00%"
SF SCM F&V,SF CM PROCESSED F&V,MUSHROOMS,DRIED MUSHROOMS,-135,"0,00%"
FF SCM GASTRO,FF CM SUSHI,SUSHI POINT,SUSHI POINT - SIDE DISHES,-99,"0,00%"
FF SCM GASTRO,FF CM FRESH BAR,FRESH BAR,FRESH BAR NON-ALCOHOLIC DRINKS,-27,"0,00%"
FF SCM GASTRO,FF CM FRESH BAR,FRESH BAR,FRESH BAR RAW MATERIALS,-4,"0,00%"
